PRICEEACH,SALES,ORDERDATE,YEAR_ID,PRODUCTLINE,CITY,COUNTRY
95.7,2871,2/24/2003 0:00,2003,Motorcycles,NYC,USA
81.35,2765.9,5/7/2003 0:00,2003,Motorcycles,Reims,France
94.74,3884.34,7/1/2003 0:00,2003,Motorcycles,Paris,France
83.26,3746.7,8/25/2003 0:00,2003,Motorcycles,Pasadena,USA
100,5205.27,10/10/2003 0:00,2003,Motorcycles,San Francisco,USA
96.66,3479.76,10/28/2003 0:00,2003,Motorcycles,Burlingame,USA
86.13,2497.77,11/11/2003 0:00,2003,Motorcycles,Lille,France
100,5512.32,11/18/2003 0:00,2003,Motorcycles,Bergen,Norway
98.57,2168.54,12/1/2003 0:00,2003,Motorcycles,San Francisco,USA
100,4708.44,1/15/2004 0:00,2004,Motorcycles,Paris,France
100,3965.66,2/20/2004 0:00,2004,Motorcycles,Melbourne,Australia
100,2333.12,4/5/2004 0:00,2004,Motorcycles,NYC,USA
100,3188.64,5/18/2004 0:00,2004,Motorcycles,Newark,USA
100,3676.76,6/28/2004 0:00,2004,Motorcycles,Bridgewater,USA
92.83,4177.35,7/23/2004 0:00,2004,Motorcycles,Nantes,France
100,4099.68,8/27/2004 0:00,2004,Motorcycles,Cambridge,USA
100,2597.39,9/30/2004 0:00,2004,Motorcycles,Helsinki,Finland
100,4394.38,10/15/2004 0:00,2004,Motorcycles,Stavern,Norway
94.74,4358.04,11/2/2004 0:00,2004,Motorcycles,Allentown,USA
100,4396.14,11/15/2004 0:00,2004,Motorcycles,NYC,USA
100,7737.93,11/24/2004 0:00,2004,Motorcycles,Salzburg,Austria
72.55,1451,12/17/2004 0:00,2004,Motorcycles,Chatswood,Australia
34.91,733.11,2/3/2005 0:00,2005,Motorcycles,Nantes,France
76.36,3207.12,3/3/2005 0:00,2005,Motorcycles,New Bedford,USA
100,2434.56,4/8/2005 0:00,2005,Motorcycles,Liverpool,UK
100,7516.08,5/13/2005 0:00,2005,Motorcycles,Madrid,Spain
100,5404.62,1/29/2003 0:00,2003,Classic Cars,Stavern,Norway
100,7209.11,3/24/2003 0:00,2003,Classic Cars,Lule,Sweden
100,7329.06,5/28/2003 0:00,2003,Classic Cars,Madrid,Spain
100,7374.1,7/24/2003 0:00,2003,Classic Cars,Burlingame,USA
100,10993.5,9/19/2003 0:00,2003,Classic Cars,Singapore,Singapore
100,4860.24,10/20/2003 0:00,2003,Classic Cars,NYC,USA
100,8014.82,11/6/2003 0:00,2003,Classic Cars,South Brisbane,Australia
100,5372.57,11/13/2003 0:00,2003,Classic Cars,Philadelphia,USA
100,7290.36,11/25/2003 0:00,2003,Classic Cars,Lyon,France
100,9064.89,12/5/2003 0:00,2003,Classic Cars,Vancouver,Canada
100,6075.3,1/29/2004 0:00,2004,Classic Cars,Burbank,USA
100,6463.23,3/10/2004 0:00,2004,Classic Cars,Cambridge,USA
100,6120.34,5/4/2004 0:00,2004,Classic Cars,New Haven,USA
100,7680.64,6/15/2004 0:00,2004,Classic Cars,Minato-ku,Japan
100,4905.39,7/19/2004 0:00,2004,Classic Cars,Chatswood,Australia
100,8014.82,8/17/2004 0:00,2004,Classic Cars,Torino,Italy
